[Epoch: 112], Train accuracy: 89.46%, Test accuracy: 94.05%
[Epoch: 113], Train accuracy: 89.40%, Test accuracy: 94.05%
[Epoch: 114], Train accuracy: 89.37%, Test accuracy: 94.05%
[Epoch: 115], Train accuracy: 89.38%, Test accuracy: 94.04%
[Epoch: 116], Train accuracy: 89.35%, Test accuracy: 94.04%
[Epoch: 117], Train accuracy: 89.34%, Test accuracy: 94.07%
[Epoch: 118], Train accuracy: 89.33%, Test accuracy: 94.10%
[Epoch: 119], Train accuracy: 89.57%, Test accuracy: 94.11%
[Epoch: 120], Train accuracy: 89.74%, Test accuracy: 94.07%
[Epoch: 121], Train accuracy: 89.64%, Test accuracy: 94.08%
[Epoch: 122], Train accuracy: 89.67%, Test accuracy: 94.07%
[Epoch: 123], Train accuracy: 89.69%, Test accuracy: 94.08%
[Epoch: 124], Train accuracy: 89.73%, Test accuracy: 94.10%
[Epoch: 125], Train accuracy: 89.75%, Test accuracy: 94.07%
[Epoch: 126], Train accuracy: 89.80%, Test accuracy: 93.94%
[Epoch: 127], Train accuracy: 89.81%, Test accuracy: 93.96%
[Epoch: 128], Train accuracy: 89.77%, Test accuracy: 93.96%
[Epoch: 129], Train accuracy: 89.82%, Test accuracy: 93.93%
[Epoch: 130], Train accuracy: 89.78%, Test accuracy: 93.94%
[Epoch: 131], Train accuracy: 89.79%, Test accuracy: 93.94%
[Epoch: 132], Train accuracy: 89.78%, Test accuracy: 94.15%
[Epoch: 133], Train accuracy: 89.79%, Test accuracy: 94.11%
[Epoch: 134], Train accuracy: 89.82%, Test accuracy: 94.13%
[Epoch: 135], Train accuracy: 89.84%, Test accuracy: 94.15%
[Epoch: 136], Train accuracy: 89.85%, Test accuracy: 94.18%
[Epoch: 137], Train accuracy: 89.81%, Test accuracy: 94.19%
[Epoch: 138], Train accuracy: 89.79%, Test accuracy: 94.24%
[Epoch: 139], Train accuracy: 89.61%, Test accuracy: 93.99%
[Epoch: 140], Train accuracy: 89.58%, Test accuracy: 93.98%
[Epoch: 141], Train accuracy: 89.57%, Test accuracy: 93.98%
[Epoch: 142], Train accuracy: 89.53%, Test accuracy: 94.02%
